id,title,employer,posting_date,salary,country,region,locality,employment_type,is_remote,be_in_first_ten,required_skills
42671353,Data Scientist,Vitality,Posted 10 May,Salary negotiable,England,South East England,London,"Permanent, full-time",False,False,
42732807,Data Scientist,Data Idols,Posted 17 May,£600.00 - £700.00 per day,England,South East England,London,"Contract, full-time",True,False,
42602667,Data Scientist,Method Resourcing,Posted 30 April,"£50,000 - £60,000 per annum",England,Gloucestershire,Cheltenham,"Permanent, full-time",True,False,
42852621,Data Scientist,Harnham,Posted 26 May,"£50,000 - £65,000 per annum",England,West Midlands,Birmingham,"Permanent, full-time",False,True,
42782499,Data Scientist,Rise Technical Recruitment Limited,Posted 21 May,"£60,000 - £100,000 per annum",England,Oxfordshire,Oxford,"Permanent, full-time",False,False,
42660219,Data Scientist,ADLIB,Posted 17 May,£350.00 - £425.00 per day,England,Avon,Bristol,"Contract, full-time",False,False,
42568857,Data Scientist,Harnham,Posted 27 April,"£50,000 - £68,000 per annum",England,West Midlands,Birmingham,"Permanent, full-time",False,True,
42818603,Data Scientist,Harnham,Posted 24 May,£450.00 - £550.00 per day,England,South East England,London,"Contract, full-time",False,False,"Analyst,Analytics,Campaigns,Data,Digital,Insight,Marketing,Segmentation,Cluster,Data Science,Segments,Tableau,SAS,Customer,Excel,R,Insights,Clusters,Clustering,Segment,PowerBi,: SQL,Looker,K Means"
42944113,Data Scientist,Harnham,Posted Yesterday,"£45,000 - £70,000 per annum",England,South East England,London,"Permanent, full-time",False,True,"Cluster Analysis,Customer Insight,Marketing Analytics,Python,Segmentation,SQL,Statistics,Marketing Insight,Clustering,Commercial Insight,Customer Behaviour,Data Scientist,Regression,Loyalty Analytics,Insight Analysis,Propensity"
42569971,Data Scientist,Harnham,Posted 27 April,"£60,000 - £80,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42863640,Data Scientist,Oscar Technology,Posted 27 May,"£50,000 - £65,000 per annum",England,Essex,Saffron Walden,"Permanent, full-time",False,False,"Computer Vision,Machine Learning,Matlab,Python"
42878375,Data Scientist,Method Resourcing,Posted 28 May,"£45,000 - £52,000 per annum",England,Gloucestershire,Cheltenham,"Permanent, full-time",True,False,
42502863,Data Scientist,Lynx Recruitment Ltd,Posted 19 April,"£50,000 - £60,000 per annum, OTE",England,South East England,London,"Permanent, full-time",False,False,Machine Learning
42593988,Data Scientist,Method Resourcing,Posted 29 April,"£40,000 - £450,000 per annum",England,Gloucestershire,Cheltenham,"Permanent, full-time",True,False,
42589726,Data Scientist,Cpl Life Sciences,Posted 29 April,Salary negotiable,England,Cheshire,Macclesfield,"Contract, full-time",False,False,
42887691,Data Scientist,Harnham,Posted 1 week ago,"£45,000 - £60,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42576042,Data Scientist,Aspire Data Recruitment,Posted 27 April,"£30,000 - £45,000 per annum",England,West Yorkshire,Leeds,"Permanent, full-time",False,False,"Data Analysis,Python,SQL,Statistical Modeling,Data Science"
42763782,Data Scientist,Harnham,Posted 19 May,"£45,000 - £60,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42939654,Data Scientist,Harnham,Posted 2 days ago,"£35,000 - £50,000 per annum",England,South East England,London,"Permanent, full-time",False,True,
42693759,Data Scientist,Data Idols,Posted 12 May,"£50,000 - £60,000 per annum",England,Lancashire,Manchester,"Permanent, full-time",True,False,
42752960,Data scientist,Harnham,Posted 19 May,"£50,000 - £70,000 per annum",England,South East England,London,"Permanent, full-time",True,False,
42860427,Data Scientist,Harnham,Posted 27 May,"£55,000 - £60,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42920451,Data Scientist,Harnham,Posted 4 days ago,"£60,000 - £120,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42863914,Data Scientist,Harnham,Posted 27 May,"£80,000 - £85,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42789773,Data Scientist,Lynx Recruitment Ltd,Posted 21 May,£400.00 - £500.00 per day,England,South East England,London,"Contract, full-time",False,False,"Algorithms,Machine Learning,Programming,Python,SQL"
42922498,Data Scientist,Everton Football Club,Posted 3 days ago,Competitive salary,England,Merseyside,Liverpool,"Permanent, full-time",False,True,"API development,Data Analysis,Python,Reserve,Data Science"
42762977,Data Scientist,Euro Garages,Posted 19 May,"£38,000 per annum",England,Lancashire,Guide,"Permanent, full-time",False,False,
42647899,Data Scientist,Harnham,Posted 6 May,"£45,000 - £55,000 per annum",England,South East England,London,"Permanent, full-time",False,True,"sql,python,analytics,modelling,statistical modelling,propensity modelling,data science,power bi"
42872081,Data Scientist,X4 Group,Posted 28 May,Competitive salary,England,South East England,London,"Contract, full-time",True,True,
42779546,Data Scientist,Premier IT,Posted 20 May,"£45,000 per annum",England,South East England,London,"Permanent, full-time",True,False,
42887070,Data Scientist - Marketplace,Harnham,Posted 1 week ago,"£60,000 - £100,000 per annum",England,South East England,London,"Permanent, full-time",False,True,
42925396,Senior Data Scientist,Hays Specialist Recruitment Limited,Posted 3 days ago,"£80,000 - £100,000 per annum",England,South East England,London,"Permanent, full-time",False,True,
42897869,Data Scientist,Morgan Law,Posted 5 days ago,£600.00 per day,England,South East England,London,"Temporary, full-time",False,True,
42897010,Data Scientist,Edward Mann Group,Posted 5 days ago,"£35,000 - £40,000 per annum",England,London,Chelsea,"Permanent, full-time",False,True,
42578750,Data Scientist,Tiger Recruitment,Posted 28 April,"£50,000 - £65,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42880445,Data Scientist,REED Talent Solutions,Posted 28 May,"£26,000 - £32,000 per annum, inc benefits",England,Warwickshire,Nuneaton,"Permanent, full-time",False,True,
42762787,Data Scientist,The One Group,Posted 19 May,"£60,000 - £80,000 per annum",England,Surrey,Epsom,"Permanent, full-time",False,False,
42606413,Data Scientist,Sphere Digital Recruitment,Posted 30 April,"£30,000 - £60,000 per annum",England,South East England,London,"Contract, full-time",False,False,
42910567,Data Scientist,ITECCO,Posted 4 days ago,"£30,000 - £40,000 per annum",England,South East England,London,"Permanent, full-time",False,False,
42723142,Data Scientist,Penguin Recruitment Ltd,Posted 14 May,"£65,000 - £70,000 per annum",England,Wiltshire,Swindon,"Permanent, full-time or part-time",False,False,"ArcGIS,SQL,VBA,MS Excel,python,R,statistics,data science,data scientist,statistician"
